,pred,actual,naive
22/02/2025 15:00,7.436504364,8.8,9.63
22/02/2025 19:00,5.643235207,5.23,5.84
22/02/2025 23:00,6.475475311,8.53,7.87
23/02/2025 03:00,4.549070358,4.5,4.57
23/02/2025 07:00,6.925450802,5.5,8.42
23/02/2025 11:00,6.497174263,6.19,5.88
23/02/2025 15:00,7.485441685,8.58,8.8
23/02/2025 19:00,6.240290642,6.84,5.23
23/02/2025 23:00,7.187139988,8.63,8.53
24/02/2025 03:00,3.970894337,2.98,4.5
24/02/2025 07:00,5.237700939,3.83,5.5
24/02/2025 11:00,4.706195354,3.2,6.19
24/02/2025 15:00,9.512338638,9.58,8.58
24/02/2025 19:00,5.514496803,3.74,6.84
24/02/2025 23:00,4.386789322,4.69,8.63
25/02/2025 03:00,3.310486555,5,2.98
25/02/2025 07:00,4.377346992,5.58,3.83
25/02/2025 11:00,3.786188364,5.5,3.2
25/02/2025 15:00,7.61080265,6.33,9.58
25/02/2025 19:00,4.01539278,2.75,3.74
25/02/2025 23:00,4.244641781,7.69,4.69
26/02/2025 03:00,3.828115702,6.69,5
26/02/2025 07:00,4.475464344,4.5,5.58
26/02/2025 11:00,4.027953625,7.69,5.5
26/02/2025 15:00,7.566949368,4.85,6.33
26/02/2025 19:00,3.575048685,4.39,2.75
26/02/2025 23:00,3.724883318,2.98,7.69
27/02/2025 03:00,4.385797977,4.69,6.69
27/02/2025 07:00,5.297830105,6,4.5
27/02/2025 11:00,3.552880526,2.53,7.69
27/02/2025 15:00,6.859751225,6.49,4.85
27/02/2025 19:00,3.71099782,3.05,4.39
27/02/2025 23:00,3.811294556,4,2.98
28/02/2025 03:00,3.766294956,2.8,4.69
28/02/2025 07:00,5.680020332,7.6,6
28/02/2025 11:00,3.306807041,3.34,2.53
28/02/2025 15:00,6.155861378,6.62,6.49
28/02/2025 19:00,3.547977686,5.2,3.05
